Index,Total_Cases,id,State,population
AL,7660,1,Alabama,4874486
AK,1420,2,Alaska,739700
AZ,13270,4,Arizona,7044008
AR,3710,5,Arkansas,3001345
CA,131380,6,California,39358497
CO,11100,8,Colorado,5611885
CT,11950,9,Connecticut,3573297
DE,2770,10,Delaware,956823
DC,3930,11,District of Columbia,694906
FL,68640,12,Florida,20963613
GA,32520,13,Georgia,10410330
HI,3220,15,Hawaii,1424393
ID,1790,16,Idaho,1717715
IL,37770,17,Illinois,12778828
IN,10270,18,Indiana,6658078
IA,3650,19,Iowa,3141550
KS,3520,20,Kansas,2908718
KY,4780,21,Kentucky,4452268
LA,9280,22,Louisiana,4670560
ME,2050,23,Maine,1334612
MD,26940,24,Maryland,6023868
MA,18880,25,Massachusetts,6859789
MI,26130,26,Michigan,9973114
MN,10100,27,Minnesota,5566230
MS,4930,28,Mississippi,2988510
MO,9690,29,Missouri,6106670
MT,1510,30,Montana,1052482
NE,2250,31,Nebraska,1915947
NV,9620,32,Nevada,2969905
NH,2330,33,New Hampshire,1348787
NJ,47010,34,New Jersey,8885525
NM,3830,35,New Mexico,2091784
NY,103060,36,New York,19589572
NC,25060,37,North Carolina,10268233
ND,970,38,North Dakota,754942
OH,20560,39,Ohio,11659650
OK,4780,40,Oklahoma,3931316
OR,8950,41,Oregon,4143625
PA,33910,42,Pennsylvania,12787641
RI,3280,44,Rhode Island,1055673
SC,11380,45,South Carolina,5021268
SD,750,46,South Dakota,872868
TN,11060,47,Tennessee,6708799
TX,56340,48,Texas,28295273
UT,3020,49,Utah,3101042
VT,1140,50,Vermont,624344
VA,20290,51,Virginia,8463587
WA,17760,53,Washington,7423362
WV,2380,54,West Virginia,1817004
WI,7540,55,Wisconsin,5790186
WY,720,56,Wyoming,578931
