State,Region,Variable,Value
Alabama,South,<15,1
Alaska,West,<15,0
Arizona,West,<15,0.7
Arkansas,South,<15,0.9
California,West,<15,1.2
Colorado,West,<15,0.6
Connecticut,Northeast,<15,1.3
Delaware,South,<15,0
District of Columbia,South,<15,0
Florida,South,<15,0.9
Georgia,South,<15,1
Hawaii,West,<15,1.3
Idaho,West,<15,0
Illinois,Midwest,<15,1.3
Indiana,Midwest,<15,0.4
Iowa,Midwest,<15,0
Kansas,Midwest,<15,0
Kentucky,South,<15,0.7
Louisiana,South,<15,1
Maine,Northeast,<15,0
Maryland,South,<15,1.5
Massachusetts,Northeast,<15,0.7
Michigan,Midwest,<15,1.1
Minnesota,Midwest,<15,0.3
Mississippi,South,<15,1.4
Missouri,Midwest,<15,0.9
Montana,West,<15,0
Nebraska,Midwest,<15,0
Nevada,West,<15,1
New Hampshire,Northeast,<15,0
New Jersey,Northeast,<15,1.6
New Mexico,West,<15,1.5
New York,Northeast,<15,2
North Carolina,South,<15,0.8
North Dakota,Midwest,<15,0
Ohio,Midwest,<15,0.8
Oklahoma,South,<15,0.7
Oregon,West,<15,0.7
Pennsylvania,Northeast,<15,1.2
Rhode Island,Northeast,<15,1.8
South Carolina,South,<15,0.7
South Dakota,Midwest,<15,0
Tennessee,South,<15,0.5
Texas,South,<15,0.6
Utah,West,<15,0.6
Vermont,Northeast,<15,0
Virginia,South,<15,0.9
Washington,West,<15,0.8
West Virginia,South,<15,0
Wisconsin,Midwest,<15,0.6
Wyoming,West,<15,0
Alabama,South,15-17,2.4
Alaska,West,15-17,3.6
Arizona,West,15-17,2.1
Arkansas,South,15-17,1.7
California,West,15-17,4.7
Colorado,West,15-17,3.2
Connecticut,Northeast,15-17,5
Delaware,South,15-17,3.9
District of Columbia,South,15-17,14.6
Florida,South,15-17,0
Georgia,South,15-17,3.4
Hawaii,West,15-17,4.6
Idaho,West,15-17,1.4
Illinois,Midwest,15-17,4.2
Indiana,Midwest,15-17,2.2
Iowa,Midwest,15-17,1.6
Kansas,Midwest,15-17,1.5
Kentucky,South,15-17,0
Louisiana,South,15-17,0
Maine,Northeast,15-17,3.7
Maryland,South,15-17,6
Massachusetts,Northeast,15-17,2.4
Michigan,Midwest,15-17,3.5
Minnesota,Midwest,15-17,2.2
Mississippi,South,15-17,2.8
Missouri,Midwest,15-17,2.5
Montana,West,15-17,0
Nebraska,Midwest,15-17,0
Nevada,West,15-17,0
New Hampshire,Northeast,15-17,2.9
New Jersey,Northeast,15-17,0
New Mexico,West,15-17,0
New York,Northeast,15-17,9.1
North Carolina,South,15-17,3.1
North Dakota,Midwest,15-17,0
Ohio,Midwest,15-17,2.5
Oklahoma,South,15-17,0
Oregon,West,15-17,0
Pennsylvania,Northeast,15-17,3.6
Rhode Island,Northeast,15-17,0
South Carolina,South,15-17,0
South Dakota,Midwest,15-17,1.9
Tennessee,South,15-17,2.1
Texas,South,15-17,2.4
Utah,West,15-17,1.2
Vermont,Northeast,15-17,3.5
Virginia,South,15-17,2.8
Washington,West,15-17,0
West Virginia,South,15-17,0
Wisconsin,Midwest,15-17,2.1
Wyoming,West,15-17,2.2
Alabama,South,18-19,9.2
Alaska,West,18-19,12.2
Arizona,West,18-19,10.4
Arkansas,South,18-19,7.3
California,West,18-19,16.8
Colorado,West,18-19,10.9
Connecticut,Northeast,18-19,15
Delaware,South,18-19,14.5
District of Columbia,South,18-19,23.4
Florida,South,18-19,0
Georgia,South,18-19,13.7
Hawaii,West,18-19,14.2
Idaho,West,18-19,6.6
Illinois,Midwest,18-19,15.5
Indiana,Midwest,18-19,8.6
Iowa,Midwest,18-19,6
Kansas,Midwest,18-19,7
Kentucky,South,18-19,0
Louisiana,South,18-19,0
Maine,Northeast,18-19,10.4
Maryland,South,18-19,22.7
Massachusetts,Northeast,18-19,10.5
Michigan,Midwest,18-19,12.3
Minnesota,Midwest,18-19,8.5
Mississippi,South,18-19,8.3
Missouri,Midwest,18-19,9.6
Montana,West,18-19,0
Nebraska,Midwest,18-19,0
Nevada,West,18-19,0
New Hampshire,Northeast,18-19,8.4
New Jersey,Northeast,18-19,0
New Mexico,West,18-19,0
New York,Northeast,18-19,26.1
North Carolina,South,18-19,11.7
North Dakota,Midwest,18-19,0
Ohio,Midwest,18-19,9.5
Oklahoma,South,18-19,0
Oregon,West,18-19,0
Pennsylvania,Northeast,18-19,12.2
Rhode Island,Northeast,18-19,0
South Carolina,South,18-19,0
South Dakota,Midwest,18-19,5.2
Tennessee,South,18-19,7.8
Texas,South,18-19,9.7
Utah,West,18-19,6.1
Vermont,Northeast,18-19,6.6
Virginia,South,18-19,10.4
Washington,West,18-19,0
West Virginia,South,18-19,0
Wisconsin,Midwest,18-19,6.5
Wyoming,West,18-19,8.4
Alabama,South,20-24,15.1
Alaska,West,20-24,16.8
Arizona,West,20-24,17.5
Arkansas,South,20-24,11.9
California,West,20-24,28.8
Colorado,West,20-24,18.5
Connecticut,Northeast,20-24,27.7
Delaware,South,20-24,29.9
District of Columbia,South,20-24,39.4
Florida,South,20-24,30.5
Georgia,South,20-24,26.8
Hawaii,West,20-24,21.5
Idaho,West,20-24,11
